,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,0.971,0.976,0.986,0.999
1,2.0,1.949,1.816,1.872,1.926
2,4.0,3.69,3.566,3.394,2.663
3,8.0,7.219,7.045,6.62,5.211
4,16.0,12.677,13.054,12.351,10.018
5,32.0,15.807,16.241,14.325,14.937
