,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,0.949,0.928,0.948,0.983
1,2.0,0.883,0.86,0.866,0.874
2,4.0,0.705,0.698,0.662,0.549
3,8.0,0.474,0.485,0.451,0.398
4,16.0,0.218,0.129,0.207,0.22
5,32.0,0.069,0.062,0.063,0.084
