,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,1.0,1.0,1.0,1.0
1,2.0,2.006,1.86,1.898,1.928
2,4.0,3.799,3.652,3.442,2.665
3,8.0,7.432,7.216,6.714,5.215
4,16.0,13.051,13.371,12.527,10.027
5,32.0,16.273,16.635,14.529,14.95
