,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,1.0,1.0,1.0,1.0
1,2.0,1.936,1.86,1.841,1.98
2,4.0,3.717,3.714,3.626,2.691
3,8.0,7.48,7.454,6.936,5.36
4,16.0,14.345,14.614,13.476,10.521
5,32.0,18.213,18.334,18.238,17.113
