,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,0.994,0.993,0.999,1.008
1,2.0,0.962,0.924,0.92,0.998
2,4.0,0.924,0.922,0.906,0.678
3,8.0,0.929,0.926,0.866,0.676
4,16.0,0.891,0.907,0.841,0.663
5,32.0,0.566,0.569,0.569,0.539
