,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,0.994,0.993,0.999,1.008
1,2.0,1.924,1.848,1.839,1.997
2,4.0,3.694,3.689,3.623,2.714
3,8.0,7.434,7.405,6.929,5.405
4,16.0,14.255,14.518,13.463,10.61
5,32.0,18.1,18.214,18.22,17.258
