,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,0.949,0.928,0.948,0.983
1,2.0,1.766,1.719,1.732,1.747
2,4.0,2.82,2.793,2.65,2.197
3,8.0,3.79,3.881,3.608,3.18
4,16.0,3.48,2.068,3.319,3.519
5,32.0,2.2,1.97,2.029,2.687
