,Workers,CHUNKS,CHUNKS_TP,CYCLIC,FF
0,1.0,1.0,1.0,1.0,1.0
1,2.0,1.861,1.852,1.828,1.778
2,4.0,2.97,3.008,2.796,2.235
3,8.0,3.993,4.18,3.807,3.236
4,16.0,3.666,2.228,3.502,3.58
5,32.0,2.318,2.122,2.141,2.734
